index,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,roll,pitch,yaw,label
7047,-80,-16,-11,13,-9,2,3,16,0.471191,-0.623047,0.666016,0.5,-4.875,-1.0,68,62,3,Q
58659,-80,-16,-11,13,-9,2,3,16,0.471191,-0.623047,0.666016,0.5,-4.875,-1.0,68,62,3,Q
7043,-74,-56,-3,39,0,2,-1,-7,0.437988,-0.601562,0.669922,-4.6875,-0.875,5.3125,68,62,2,Q
58655,-74,-56,-3,39,0,2,-1,-7,0.437988,-0.601562,0.669922,-4.6875,-0.875,5.3125,68,62,2,Q
6947,-72,8,13,8,11,-9,9,4,0.483398,-0.596191,0.646484,3.6875,-17.0,13.6875,68,61,1,Q
58559,-72,8,13,8,11,-9,9,4,0.483398,-0.596191,0.646484,3.6875,-17.0,13.6875,68,61,1,Q
7168,-69,-13,-19,7,0,0,-10,-41,0.466309,-0.621582,0.658691,-0.375,1.5625,0.0625,68,62,4,Q
58780,-69,-13,-19,7,0,0,-10,-41,0.466309,-0.621582,0.658691,-0.375,1.5625,0.0625,68,62,4,Q
6944,-65,-18,-14,-4,-7,-15,-6,-18,0.475586,-0.598633,0.694336,-3.375,-2.75,-14.3125,69,62,0,Q
58556,-65,-18,-14,-4,-7,-15,-6,-18,0.475586,-0.598633,0.694336,-3.375,-2.75,-14.3125,69,62,0,Q
6951,-63,10,-13,-8,-7,-25,-7,-18,0.502441,-0.628906,0.633301,1.25,-4.8125,2.125,68,61,3,Q
58563,-63,10,-13,-8,-7,-25,-7,-18,0.502441,-0.628906,0.633301,1.25,-4.8125,2.125,68,61,3,Q
7058,-60,-63,-23,-6,3,-22,-13,-26,0.484863,-0.619141,0.660645,0.3125,-0.5,-0.4375,68,62,3,Q
58670,-60,-63,-23,-6,3,-22,-13,-26,0.484863,-0.619141,0.660645,0.3125,-0.5,-0.4375,68,62,3,Q
6954,-59,-12,9,-16,7,25,11,31,0.486816,-0.619141,0.655762,-0.125,3.3125,-1.125,68,61,3,Q
58566,-59,-12,9,-16,7,25,11,31,0.486816,-0.619141,0.655762,-0.125,3.3125,-1.125,68,61,3,Q
7165,-56,-34,-20,-5,3,-13,-8,-8,0.472168,-0.617188,0.650391,-0.125,-0.0625,1.5,68,62,4,Q
58777,-56,-34,-20,-5,3,-13,-8,-8,0.472168,-0.617188,0.650391,-0.125,-0.0625,1.5,68,62,4,Q
7132,-54,25,1,10,-4,0,0,12,0.472656,-0.625977,0.652832,-0.1875,0.4375,0.5625,68,62,4,Q
58744,-54,25,1,10,-4,0,0,12,0.472656,-0.625977,0.652832,-0.1875,0.4375,0.5625,68,62,4,Q
7120,-50,-39,-2,23,-1,-9,-6,-22,0.466797,-0.628418,0.661621,0.125,0.4375,0.6875,68,62,4,Q
58732,-50,-39,-2,23,-1,-9,-6,-22,0.466797,-0.628418,0.661621,0.125,0.4375,0.6875,68,62,4,Q
33988,-46,-110,-28,-11,-4,0,-13,-37,0.665527,-0.43457,0.625488,-0.1875,-0.25,-0.25,72,48,83,Q
33989,-46,-110,-28,-11,-4,0,-13,-37,0.665527,-0.43457,0.625488,-0.1875,-0.25,-0.25,72,48,83,Q
33990,-46,-110,-28,-11,-4,0,-13,-37,0.665527,-0.43457,0.625488,-0.1875,-0.25,-0.25,72,48,83,Q
33991,-46,-110,-28,-11,-4,0,-13,-37,0.665527,-0.43457,0.625488,-0.1875,-0.25,-0.25,72,48,83,Q
33992,-46,-110,-28,-11,-4,0,-13,-37,0.665527,-0.43457,0.625488,-0.1875,-0.25,-0.25,72,48,83,Q
33993,-46,-110,-28,-11,-4,0,-13,-37,0.665527,-0.43457,0.625488,-0.1875,-0.25,-0.25,72,48,83,Q
